Quarter,TransactionVolume,QoQ,YoY,Source,Updated
2013-Q1,3825,-25.9%,62.1%,HDB,2026/7/30
2013-Q2,4614,20.6%,-28.7%,HDB,2026/7/30
2013-Q3,4050,-12.2%,-32.7%,HDB,2026/7/30
2013-Q4,3608,-10.9%,-30.1%,HDB,2026/7/30
2014-Q1,3501,-3.0%,-8.5%,HDB,2026/7/30
2014-Q2,4227,20.7%,-8.4%,HDB,2026/7/30
2014-Q3,4153,-1.8%,2.5%,HDB,2026/7/30
2014-Q4,4215,1.5%,16.8%,HDB,2026/7/30
2015-Q1,3749,-11.1%,7.1%,HDB,2026/7/30
2015-Q2,4903,30.8%,16.0%,HDB,2026/7/30
2015-Q3,4498,-8.3%,8.3%,HDB,2026/7/30
2015-Q4,4630,2.9%,9.8%,HDB,2026/7/30
2016-Q1,4135,-10.7%,10.3%,HDB,2026/7/30
2016-Q2,5480,32.5%,11.8%,HDB,2026/7/30
2016-Q3,5122,-6.5%,13.9%,HDB,2026/7/30
2016-Q4,4636,-9.5%,0.1%,HDB,2026/7/30
2017-Q1,4173,-10.0%,0.9%,HDB,2026/7/30
2017-Q2,5566,33.4%,1.6%,HDB,2026/7/30
2017-Q3,5420,-2.6%,5.8%,HDB,2026/7/30
2017-Q4,5350,-1.3%,15.4%,HDB,2026/7/30
2018-Q1,4136,-22.7%,-0.9%,HDB,2026/7/30
2018-Q2,5553,34.3%,-0.2%,HDB,2026/7/30
2018-Q3,6591,18.7%,21.6%,HDB,2026/7/30
2018-Q4,5281,-19.9%,-1.3%,HDB,2026/7/30
2019-Q1,4507,-14.7%,9.0%,HDB,2026/7/30
2019-Q2,5869,30.2%,5.7%,HDB,2026/7/30
2019-Q3,5846,-0.4%,-11.3%,HDB,2026/7/30
2019-Q4,5964,2.0%,12.9%,HDB,2026/7/30
2020-Q1,5509,-7.6%,22.2%,HDB,2026/7/30
2020-Q2,3225,-41.5%,-45.1%,HDB,2026/7/30
2020-Q3,7364,128.3%,26.0%,HDB,2026/7/30
2020-Q4,7235,-1.8%,21.3%,HDB,2026/7/30
2021-Q1,7094,-1.9%,28.8%,HDB,2026/7/30
2021-Q2,6592,-7.1%,104.4%,HDB,2026/7/30
2021-Q3,7914,20.1%,7.5%,HDB,2026/7/30
2021-Q4,7487,-5.4%,3.5%,HDB,2026/7/30
2022-Q1,6599,-11.9%,-7.0%,HDB,2026/7/30
2022-Q2,6551,-0.7%,-0.6%,HDB,2026/7/30
2022-Q3,7248,10.6%,-8.4%,HDB,2026/7/30
2022-Q4,6322,-12.8%,-15.6%,HDB,2026/7/30
2023-Q1,6665,5.4%,1.0%,HDB,2026/7/30
2023-Q2,6275,-5.9%,-4.2%,HDB,2026/7/30
2023-Q3,6493,3.5%,-10.4%,HDB,2026/7/30
2023-Q4,6321,-2.6%,0.0%,HDB,2026/7/30
2024-Q1,6790,7.4%,1.9%,HDB,2026/7/30
2024-Q2,7031,3.5%,12.0%,HDB,2026/7/30
2024-Q3,7831,11.4%,20.6%,HDB,2026/7/30
2024-Q4,6180,-21.1%,-2.2%,HDB,2026/7/30
2025-Q1,6303,2.0%,-7.2%,HDB,2026/7/30
2025-Q2,6823,8.3%,-3.0%,HDB,2026/7/30
2025-Q3,6939,1.7%,-11.4%,HDB,2026/7/30
2025-Q4,5021,-27.6%,-18.8%,HDB,2026/7/30
2026-Q1,6056,20.6%,-3.9%,HDB,2026/7/30
2026-Q2,904,-85.1%,-86.8%,HDB,2026/7/30
